epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.784,1.39379,2.66816,1.18903,0.5543,0.47648,0.47506,0.30866,1.25781,1.57859,1.11301,0.00333049,0.00333049,0.0700256
2,253.608,1.34454,1.48883,1.13364,0.58265,0.50163,0.51693,0.3386,1.26975,1.55248,1.11345,0.00659786,0.00659786,0.0399596
3,370.24,1.37737,1.39998,1.14845,0.5571,0.45603,0.46701,0.28785,1.32543,1.6859,1.15435,0.00979922,0.00979922,0.00982761
4,477.678,1.38532,1.33813,1.15799,0.67824,0.54816,0.58225,0.37996,1.25323,1.17528,1.10155,0.009703,0.009703,0.009703
5,590.046,1.33209,1.19583,1.12324,0.69715,0.60574,0.64224,0.41442,1.1959,1.00267,1.06486,0.009604,0.009604,0.009604
6,698.433,1.29467,1.10303,1.10176,0.76418,0.62468,0.67301,0.45037,1.16517,0.9201,1.04367,0.009505,0.009505,0.009505
7,804.46,1.26831,1.04106,1.0888,0.75937,0.63011,0.67869,0.45419,1.17164,0.89376,1.04458,0.009406,0.009406,0.009406
8,918.743,1.24673,1.00165,1.07643,0.78459,0.65869,0.71377,0.47799,1.12948,0.84136,1.02957,0.009307,0.009307,0.009307
9,1034.1,1.21988,0.96219,1.06862,0.80142,0.67236,0.73562,0.49906,1.11154,0.81024,1.01697,0.009208,0.009208,0.009208
10,1145.28,1.20417,0.93327,1.05936,0.81373,0.69689,0.75737,0.5215,1.08408,0.75957,1.00429,0.009109,0.009109,0.009109
11,1260.34,1.19216,0.90398,1.05013,0.82606,0.70476,0.76102,0.52812,1.07722,0.74554,0.99936,0.00901,0.00901,0.00901
12,1372.4,1.18406,0.89678,1.04884,0.82016,0.71267,0.76551,0.53148,1.08284,0.73326,0.99798,0.008911,0.008911,0.008911
13,1484.59,1.1768,0.87326,1.04296,0.82831,0.71824,0.76889,0.53684,1.06241,0.72305,0.98813,0.008812,0.008812,0.008812
14,1596.98,1.1717,0.86055,1.03635,0.8369,0.7235,0.78503,0.55244,1.04272,0.69945,0.98177,0.008713,0.008713,0.008713
15,1712,1.15545,0.85016,1.03688,0.85356,0.73341,0.79024,0.56204,1.03216,0.68336,0.97908,0.008614,0.008614,0.008614
16,1822.6,1.15081,0.84003,1.03174,0.84825,0.73458,0.79422,0.56406,1.02845,0.6735,0.97563,0.008515,0.008515,0.008515
17,1940.85,1.14075,0.8179,1.02594,0.85109,0.73191,0.79382,0.56822,1.01504,0.67021,0.96796,0.008416,0.008416,0.008416
18,2055.8,1.13931,0.82562,1.03019,0.85989,0.73836,0.80495,0.57607,1.01519,0.65141,0.96853,0.008317,0.008317,0.008317
19,2165.11,1.13998,0.81122,1.02416,0.86676,0.742,0.81082,0.57598,1.01983,0.64522,0.97029,0.008218,0.008218,0.008218
20,2277.6,1.13253,0.8035,1.02226,0.86487,0.74302,0.81217,0.58373,1.00344,0.63543,0.96138,0.008119,0.008119,0.008119
21,2390.08,1.11995,0.78983,1.01852,0.85799,0.75169,0.81033,0.5864,1.00012,0.63053,0.96011,0.00802,0.00802,0.00802
22,2502.9,1.12322,0.78689,1.01563,0.88867,0.74552,0.8204,0.59426,0.99349,0.62262,0.95827,0.007921,0.007921,0.007921
23,2608.68,1.1116,0.77608,1.01225,0.86118,0.76173,0.82316,0.59411,0.99522,0.62,0.95383,0.007822,0.007822,0.007822
24,2722.43,1.10913,0.77723,1.01029,0.87391,0.75987,0.82383,0.59537,0.98636,0.61346,0.95135,0.007723,0.007723,0.007723
25,2836.97,1.10356,0.76928,1.00891,0.89981,0.75035,0.83066,0.60186,0.98552,0.60823,0.95064,0.007624,0.007624,0.007624
26,2949.44,1.10421,0.76619,1.01106,0.88333,0.76073,0.83365,0.60544,0.98002,0.60662,0.94885,0.007525,0.007525,0.007525
27,3062.94,1.10286,0.76071,1.00445,0.87985,0.76244,0.83242,0.60659,0.97973,0.60262,0.94558,0.007426,0.007426,0.007426
28,3176.51,1.09903,0.75334,1.00445,0.87931,0.77123,0.83554,0.61057,0.97628,0.59669,0.94531,0.007327,0.007327,0.007327
29,3288.9,1.09745,0.7504,1.00276,0.90333,0.75403,0.8383,0.61347,0.97374,0.5927,0.94253,0.007228,0.007228,0.007228
30,3401.7,1.08945,0.74732,1.00184,0.88026,0.77093,0.83859,0.61393,0.97068,0.58819,0.94189,0.007129,0.007129,0.007129
31,3516.41,1.09038,0.73985,0.99829,0.87653,0.77626,0.84239,0.61596,0.97095,0.58588,0.94191,0.00703,0.00703,0.00703
32,3628.74,1.08542,0.73531,0.9973,0.89785,0.7663,0.84391,0.61845,0.96376,0.5802,0.93832,0.006931,0.006931,0.006931
33,3737.49,1.08366,0.73459,0.99767,0.89812,0.76844,0.84458,0.62205,0.96352,0.5781,0.93725,0.006832,0.006832,0.006832
34,3847.56,1.08454,0.73327,0.99843,0.8797,0.77863,0.84617,0.62223,0.96193,0.57737,0.93711,0.006733,0.006733,0.006733
35,3960.2,1.08313,0.72824,0.99533,0.88743,0.77477,0.84586,0.62275,0.95878,0.57507,0.93548,0.006634,0.006634,0.006634
36,4073.38,1.07653,0.7194,0.99233,0.89424,0.78135,0.84805,0.62439,0.95997,0.57259,0.93613,0.006535,0.006535,0.006535
37,4187.22,1.07242,0.72271,0.99539,0.88805,0.78768,0.8504,0.62769,0.96032,0.57007,0.93588,0.006436,0.006436,0.006436
38,4301.24,1.07071,0.71433,0.98972,0.88704,0.78511,0.85068,0.6319,0.95813,0.5671,0.93446,0.006337,0.006337,0.006337
39,4413.85,1.07281,0.71257,0.99108,0.88677,0.79117,0.85244,0.63333,0.95689,0.56598,0.93387,0.006238,0.006238,0.006238
40,4524.59,1.06685,0.70854,0.98854,0.8877,0.78914,0.85463,0.63436,0.95504,0.5633,0.93299,0.006139,0.006139,0.006139
41,4631.15,1.06253,0.70888,0.9873,0.89532,0.7845,0.85388,0.63513,0.95294,0.56123,0.93138,0.00604,0.00604,0.00604
42,4743.7,1.07013,0.71008,0.98497,0.89377,0.78919,0.85453,0.63495,0.9518,0.55962,0.93025,0.005941,0.005941,0.005941
43,4853.92,1.06277,0.69512,0.98412,0.89291,0.78423,0.85543,0.63551,0.95001,0.55813,0.9292,0.005842,0.005842,0.005842
44,4965.84,1.06272,0.70271,0.98543,0.88385,0.79201,0.85674,0.63737,0.94889,0.55702,0.92904,0.005743,0.005743,0.005743
45,5079.52,1.05982,0.69634,0.98441,0.8998,0.78338,0.85738,0.63919,0.94748,0.55491,0.92804,0.005644,0.005644,0.005644
46,5191.67,1.06079,0.69609,0.97892,0.89899,0.78429,0.85781,0.64123,0.94578,0.55284,0.9272,0.005545,0.005545,0.005545
47,5293.85,1.04997,0.68882,0.98212,0.89888,0.78679,0.85879,0.64098,0.94447,0.55195,0.92671,0.005446,0.005446,0.005446
48,5406.37,1.04874,0.68853,0.9811,0.89644,0.78869,0.85853,0.64145,0.94393,0.55095,0.92654,0.005347,0.005347,0.005347
49,5518.49,1.04732,0.68516,0.97935,0.89416,0.78912,0.85842,0.64166,0.94345,0.5504,0.92601,0.005248,0.005248,0.005248
50,5630.79,1.04638,0.67954,0.97736,0.89202,0.78779,0.85821,0.64156,0.94328,0.54916,0.92582,0.005149,0.005149,0.005149
51,5744.43,1.04105,0.67593,0.97729,0.89436,0.78593,0.85859,0.64136,0.94262,0.54884,0.9255,0.00505,0.00505,0.00505
52,5853.11,1.04135,0.67664,0.97698,0.89019,0.79053,0.8591,0.64174,0.9421,0.5484,0.92538,0.004951,0.004951,0.004951
53,5965.15,1.04596,0.67692,0.97478,0.8857,0.79426,0.85935,0.6422,0.94102,0.54765,0.92504,0.004852,0.004852,0.004852
54,6077.77,1.04176,0.67144,0.9736,0.88825,0.79248,0.85968,0.64367,0.94051,0.54731,0.92486,0.004753,0.004753,0.004753
55,6190.51,1.03538,0.66522,0.97411,0.88779,0.79451,0.86041,0.64408,0.94002,0.54595,0.92464,0.004654,0.004654,0.004654
56,6300.73,1.03511,0.66873,0.97342,0.8883,0.79397,0.86183,0.64438,0.93977,0.54533,0.92447,0.004555,0.004555,0.004555
57,6402.62,1.03868,0.66323,0.97294,0.88673,0.795,0.86206,0.64415,0.9393,0.54434,0.92414,0.004456,0.004456,0.004456
58,6509.5,1.03334,0.66246,0.97157,0.88547,0.79869,0.86314,0.64429,0.93884,0.54369,0.92399,0.004357,0.004357,0.004357
59,6614.88,1.02379,0.65498,0.97164,0.88328,0.80071,0.86291,0.645,0.93867,0.5428,0.92387,0.004258,0.004258,0.004258
60,6723.57,1.03098,0.6586,0.97185,0.88476,0.80102,0.86373,0.6453,0.93832,0.5422,0.92378,0.004159,0.004159,0.004159
61,6835.17,1.02882,0.65657,0.96962,0.88727,0.80191,0.86459,0.64614,0.93798,0.5415,0.92376,0.00406,0.00406,0.00406
62,6947.12,1.02642,0.65308,0.96865,0.88731,0.80173,0.86481,0.6469,0.93762,0.54087,0.92357,0.003961,0.003961,0.003961
63,7058.22,1.02401,0.64845,0.96735,0.88797,0.80164,0.86511,0.64707,0.93703,0.54031,0.92349,0.003862,0.003862,0.003862
64,7170.48,1.01704,0.64449,0.96597,0.8888,0.80076,0.86518,0.64741,0.93673,0.53958,0.92343,0.003763,0.003763,0.003763
65,7282.75,1.01855,0.64257,0.96639,0.89037,0.80019,0.8651,0.64792,0.93634,0.53905,0.92333,0.003664,0.003664,0.003664
66,7392.53,1.01617,0.6437,0.96559,0.89326,0.79996,0.86556,0.6484,0.93584,0.53871,0.92307,0.003565,0.003565,0.003565
67,7504.45,1.01395,0.64014,0.96432,0.8931,0.7999,0.86571,0.64868,0.93558,0.538,0.92296,0.003466,0.003466,0.003466
68,7608.05,1.01238,0.63519,0.96432,0.89175,0.80005,0.86588,0.64854,0.93541,0.53728,0.92285,0.003367,0.003367,0.003367
69,7720.68,1.01175,0.63332,0.96053,0.89273,0.79968,0.86599,0.64883,0.93508,0.53671,0.92264,0.003268,0.003268,0.003268
