domain,class_id,class_name,iou,dice_f1,precision,recall,support_pixels
overall,0,background,0.5363012470527222,0.6981719868828794,0.618068351640859,0.8021306898770736,615250682
overall,1,building,0.5786635587971717,0.7331056140145171,0.700044559104163,0.7694442113075922,122805791
overall,2,road,0.5395743087942794,0.7009396113096328,0.7828336825375479,0.6345571016641434,79590500
overall,3,water,0.6322480687725954,0.7746960537046653,0.8578170389191931,0.7062606227048153,199567816
overall,4,barren,0.35540914624329845,0.5244307923232825,0.6022985126727342,0.464392189557275,74383133
overall,5,forest,0.3776383919029366,0.5482402263504045,0.5614626308551249,0.5356262663679151,125615647
overall,6,agricultural,0.5358200240274937,0.6977640812656857,0.8146716003026312,0.6101989288053181,487082702
Urban,0,background,0.4195572092216611,0.5911099693568576,0.5880907565482548,0.5941603429562426,177131635
Urban,1,building,0.594943857964989,0.7460373667623463,0.7118796008645353,0.7836382944735494,85167955
Urban,2,road,0.6098457337245029,0.7576449357213595,0.791744784452954,0.726361112272956,52956965
Urban,3,water,0.6505190279508642,0.7882599557285809,0.8875516942806252,0.708948791635827,80594412
Urban,4,barren,0.4818390474929379,0.6503257534050563,0.6643543139195155,0.6368773977204198,37172547
Urban,5,forest,0.4766098645110083,0.6455460930688576,0.5569393033661463,0.7676810404474322,74195464
Urban,6,agricultural,0.5816986980426402,0.7355366717599188,0.7734295032525191,0.7011834116978959,175135923
Rural,0,background,0.5800513884836714,0.7342183839227275,0.6267280150656128,0.8862131506462443,438119047
Rural,1,building,0.5429329357259737,0.7037673811409247,0.6731310172594624,0.7373254402830174,37637836
Rural,2,road,0.3943762863920158,0.5656669440534944,0.755659077459525,0.4520179916034428,26633535
Rural,3,water,0.6203691295545989,0.7657133405462047,0.8386620294424186,0.7044396157648813,118973404
Rural,4,barren,0.22615226773257913,0.36888121269111807,0.500470742933008,0.2920833066160259,37210586
Rural,5,forest,0.1760060921500255,0.29932853804905635,0.5877995399097047,0.2007886475238721,51420183
Rural,6,agricultural,0.5076307509594186,0.6734152253612166,0.8464509488067413,0.5591176147390193,311946779
